as_rank,asn,as_name,is_cloud,instance_count
1246,54825,PACKET,0,1
1249,49981,WorldStream,0,1
1257,8283,COLOCLUE-AS,0,3
1261,29551,HGCOMP-ASN,0,2
1280,1103,SURFNET-NL,0,2
1286,6848,TELENET-AS,0,1
1291,803,SASKTEL,0,2
1294,15600,QUICKLINE,0,3
1298,20454,SSASN2,0,1
1303,41998,NetComBW-AS,0,1
1318,553,BELWUE,0,2
1319,33915,TNF-AS,0,11
1332,26827,EPBTELECOM,0,1
1348,12859,NL-BIT,0,4
1350,23961,MNI-AS-AP,0,1
1359,203446,SMARTNET LIMITED,0,1
1362,50266,Odido,0,6
1369,18450,WEBNX,0,1
1381,35847,AS-EFTL,0,1
1390,39122,BLACKNIGHT-AS,0,2
1392,29691,NINE,0,1
1405,203936,AS-MISMENET,0,1
1411,10111,ZEONET-AS-AP,0,1
1422,137,ASGARR,0,1
1428,62240,Clouvider,0,5
1443,59103,SOFTETHER,0,1
1467,14618,AMAZON-AES,1,33
1480,9370,SAKURA-B,0,27
1490,12329,TMR,0,3
1534,31898,ORACLE-BMC-31898,0,142
1554,205714,tele2hr,0,1
1561,12668,MIRALOGIC-AS,0,2
1600,23033,WOW,0,2
1607,8047,GCI,0,1
1612,34087,NTE-BREDBAND,0,1
1643,64073,VETTA,0,2
1649,8298,IPNG,0,1
1652,15169,GOOGLE,1,7
1659,2852,CESNET2,0,1
1662,2611,BELNET,0,1
1673,20910,BALTKOM-AS,0,2
1734,12353,VODAFONE-PT,0,2
1736,20647,IPB,0,1
1739,37680,COOL-IDEAS,0,1
1741,9371,SAKURA-C,0,9
1744,9044,SOLNET,0,2
1753,18530,ISOMEDIA-1,0,2
1755,8057,VISIONNET,0,1
1787,44684,MYTHIC,0,22
1806,36351,SOFTLAYER,0,2
1817,18779,EGIHOSTING,0,1
1819,39642,Norlys-Fibernet,0,3
1821,31034,ARUBA-ASN,0,3
1825,60610,EVEREST-AS,0,1
1827,44066,DE-FIRSTCOLO,0,3
1832,16342,TOYA,0,1
1833,18451,LESNET,0,1
1842,33387,NOCIX,0,1
1845,35266,EXN-AS,0,1
1862,63473,HOSTHATCH,0,18
1872,2027,MilkyWan,0,8
1890,8560,IONOS-AS,0,95
1903,8445,SALZBURG-AG-AS,0,1
1955,5410,BOUYGTEL-ISP,0,8
1957,23889,MauritiusTelecom,0,1
1965,46375,AS-SONICTELECOM,0,7
1966,3701,LINK-OREGON,0,1
1975,45671,AS45671-NET-AU,0,1
1986,21430,WIA-AS,0,1
1995,23470,RELIABLESITE,0,4
1996,10929,ESTRUXTURE-QC-10929,0,1
1999,39912,i3B-AS,0,1
2009,132420,E2E-NETWORKS-IN,0,2
2047,26073,COFRACTAL-001,0,1
2048,56382,VSERVERLTD,0,1
2057,6805,TDDE-ASN1,0,5
2080,13213,UK2NET-AS,0,2
2081,27364,ACS-INTERNET,0,3
2097,57043,HOSTKEY-AS,0,1
2109,8943,JUMP,0,4
2120,35236,AS35236,0,1
2146,24641,FASTER-AS,0,1
2147,15954,Tecnocratica,0,1
2159,134090,LEAP-AS-AP,0,2
2187,17511,OPTAGE,0,2
2215,46475,LIMESTONENETWORKS,0,5
2220,42,WOODYNET-1,0,1
2224,12693,ediscom,0,1
2232,44486,SYNLINQ,0,6
2253,31543,MYNET-AS,0,1
2275,43541,VSHOSTING,0,1
2322,29670,IN-BERLIN-AS,0,3
2340,35916,MULTA-ASN1,0,10
2373,15598,IPX-AS15598,0,1
2398,48314,IP-PROJECTS,0,6
2407,205112,PHILUNET,0,1
2416,31708,COREIX-UK-AS,0,1
2418,29056,CITYCOM-AS,0,1
2429,207187,TKRJASEK,0,1
2474,400304,CRUNCHBITS,0,3
2491,199020,ASAVANT,0,1
2503,29222,Infomaniak-AS,0,11
2506,3243,MEO-RESIDENCIAL,0,2
2507,8402,CORBINA-AS,0,1
2512,1741,FUNETAS,0,1
2519,8612,TISCALI-IT,0,1
2528,15962,OSK-DNI,0,1
2534,12605,LIWEST-AT,0,2
2548,8821,TELEZUG,0,1
2549,13428,SURFAIRWIRELESS-IN-02,0,1
2556,24971,MASTER-AS,0,9
2578,6856,IC-VORONEZH-AS,0,1
2587,15685,CASABLANCA-AS,0,1
2597,39702,SIT-AS,0,1
2611,197019,WEDOS,0,2
2659,41495,FAELIX,0,1
2674,9443,VOCUS-RETAIL-AU,0,2
2682,37492,ORANGE-TN,0,1
