US,2795
FR,1735
DE,1700
PT,652
JP,415
GB,249
FI,234
CA,229
NL,181
SG,138
AT,104
AU,78
CH,76
ES,53
SE,48
KR,41
RU,37
CZ,37
IT,24
DK,19
BE,19
PL,16
IE,16
NO,15
IN,13
NZ,11
LT,10
RO,10
LU,10
HK,10
IS,9
BR,9
ZA,8
TR,6
EE,6
CN,6
BG,6
SI,6
TW,5
AR,5
SK,5
HU,4
LV,4
IL,4
CR,4
MX,4
AM,3
CL,3
RE,2
IR,2
TH,2
CO,2
TN,2
NC,1
ID,1
MY,1
MD,1
UA,1
GR,1
AE,1
HR,1
ME,1
MG,1
SA,1
IQ,1
MU,1
BH,1
BY,1
